review_id,texto_review,sentimento
36,Minha experiência com a plataforma de aulas foi péssima. o profissional chegou atrasado e deixou o serviço incompleto. Precisa melhorar muito.,negativo
37,Minha experiêcia com o livro foi péssima. apresenta travamentos e falhas durante o uso. Precisa melhorar muito.,negativo
38,"Eu queria muito gostar de o hotel, porém houve cobrança inesperada e ninguém conseguiu explicar o motivo. Não atendeu ao que foi prometido.",negativo
39,Não tenho do que reclamar sobre o teclado. os recursos são úteis e fáceis de configurar. Atendeu plneamente ao que eu precisava.,positivo
40,"Houve um pequeno atraso, mas isso não prejudicou minha avaliação de o fone de ouvido. a resposta aos comandos é rápida e precisa. No geral, fiquei muito satisfeito.",positivo
41,minha experiência com o serviço de entrega foi péssima. o aplicativo trava e impede a conclusão das operações. a experiência foi péssima.,negativo
42,"No começo a oficina pareceu funcionar bem, mas pouco depois o profissional chegou atrasado e deixou o serviço incompleto. Precisa melhorar muito.",negativo
43,"Eu queria muito gostar de a parafusadeira, porém apresenta travamentos e falhas durante o uso. Precisa melhorar muito.",negativo
44,Minha experiêcia com a panela elétrica foi excelente. chegou bem embalado e em perfeito estado. Valeu cada centavo.,positivo
45,"Eu esperava uma experiência razoável com o jogo de tabuleiro, mas o resultado superou minhas expectativas. a bateria dura bastante e carrega rapidamente. Atendeu plenamente ao que eu precisava.",positivo
46,"Eu esperava uma experiência razoável com o serviço de entrega, mas o resultado superou minhas expectativas. o processo foi simples, rápido e bem explicado. Pode comprar sem medo.",positivo
47,"Se alguem me perguntar sobre o sensor de presenca, minha resposta sera negativa. faltaram pecas e nao consegui concluir a instalacao. Solicitei a devolucao.",negativo
48,"Confesso que achei que o jogo de tabuleiro seria ruim, mas me surpreendeu positivamente. o desempenho se manteve estável durante o uso. Minha avaliação é muito positiva.",positivo
49,Minha experiência com o site de compras foi exelente. a equipe corrigiu o problema e ainda explicou como evitar novamente. Pode comprar sem medo.,positivo
50,Não tenho do que reclamar sobre o tênis. o tamanho e o acabamento correspondem ao anúncio. Fiquei muito satifeito com o resultado.,positivo
51,"No começo o colchão pareceu funcionar bem, mas pouco depois produz ruídos estranhos e esquenta além do normal. Precisa melhorar muito.",negativo
52,"EU ESPERAVA QUE O CURSO ON-LINE FOSSE EXCELENTE, MAS ACABOU SENDO UMA GRANDE DECEPÇÃO. O APLICATIVO TRAVA E IMPEDE A CONCLUSÃO DAS OPERAÇÕES. A EXPERIÊNCIA FOI PÉSSIMA.",negativo
53,"depois de três dias usando a operadora de celular, posso dizer que fiz uma ótima escolha: a equipe demonstrou atenção e conhecimento. valeu cada centavo.",positivo
54,"Depois de uma semana usando a plataforma de streaming, posso dizer que fiz uma ótima escolha: a equipe demonstrou atenção e conhecimento. Recomendo sem receio. 💚",positivo
55,"Depois de duas semanas usando o restaurante, posso dizer que fiz uma ótima escolha: o profissional foi pontual, educado e cuidadoso. Compraria novamente.",positivo
56,"Se alguém me perguntar sobre o serviço de limpeza, minha resposta será positiva. minha solicitação foi acompanhada até a solução definitiva. rceomendo sem receio.",positivo
57,"Se alguém me perguntar sobre o colchão, minha resposta será negativa. o material parece barato e pouco resistente. Foi dinheiro jogado fora.",negativo
58,não posso recomendar a impressora. veio em uma embalagem danificada e com o produto avariado. fiquei muito decepcionado.,negativo
59,Estou realmente contente com a cafteeira. o tamanho e o acabamento correspondem ao anúncio. Foi exatamente o tipo de resultado que eu procurava.,positivo
60,"Depois de um mês usando o carregdaor, os problemas ficaram evidentes: o material parece barato e pouco resistente. Precisa melhorar muito.",negativo
61,"Eu esperava uma experiencia razoavel com a cadeira gamer, mas o resultado superou minhas expectativas. a qualidade ficou acima do que eu esperava. Minha avaliacao e muito positiva.",positivo
62,"Se alguém me perguntar sobre o smartwatch, minha resposta será positiva. o acabamento é muito bom e parece resistente. Recomendo sem receio.",positivo
63,"Confesso que achei que o suporte técnico seria ruim, mas me surpreendeu positivamente. o aplicativo permaneceu estável e fácil de usar. Fiquei muito satisfeito com o resultado.",positivo
64,"Nao foi perfeito em todos os detalhes, porem os pontos positivos de o servico de entrega pesaram muito mais. o aplicativo permaneceu estavel e facil de usar.",positivo
65,"Eu queria muito gostar de a furadeira, porém a entrega atrasou e ainda mandaram o modelo errado. Não recomendo.",negativo
66,"Eu esperava que a furadeira fosse excelente, mas acabou sendo uma grande decepção. parou de funcionar depois de poucos dias. Minha avaliação é negativa.",negativo
67,"eu esperava uma experiência razoável com o micro-ondas, mas o resultado superou minhas expectativas. os recursos são úteis e fáceis de configurar. valeu cada centavo.",positivo
68,"Não tenho do que reclamar sobre a plataforma de aulas. o profissional foi pontual, educado e cuidadoso. Valeu cada centavo.",positivo
69,Minha experiêcia com o liquidificador foi péssima. chegou com defeito e apresentando marcas de uso. Foi dinheiro jogado fora.,negativo
70,"Se alguém me perguntar sobre o tênis, minha resposta será negativa. veio em uma embalagem danificada e com o produto avariado. Minha avaliação é negativa.",negativo
71,"Houve um pequeno atraso, mas isso não prejudicou minha avaliação de o brinquedo. o material é firme, confortável e bem construído. No geral, fiquei muito satisfeito.",positivo
72,"SE ALGUÉM ME PERGUNTAR SOBRE O VENTILADOR, MINHA RESPOSTA SERÁ POSITIVA. OS RECURSOS SÃO ÚTEIS E FÁCEIS DE CONFIGURAR. A EXPERIÊNCIA MERECEU CINCO ESTRELAS.",positivo
73,Não posso recomendar a televisão. o manual é confuso e a configuração não funciona. Não vale o preço cobrado.,negativo
74,"Se alguém me perguntar sobre o serviço de entrega, minha resposta será negativa. precisei repetir a mesma informação para várias pessoas. A experiência foi péssima.",negativo
75,"Eu queria muito gostar de o smartwatch, porém precisei solicitar troca porque não funcionou desde o primeiro uso. Solicitei a devolução.",negativo
76,"Pesquisei bastante antes de escolher a televisao. Apos comparar preco, qualidade e facilidade de uso, a experiencia foi muito boa porque o acabamento e muito bom e parece resistente. Valeu cada centavo.",positivo
77,"Se alguem me perguntar sobre o relogio, minha resposta sera positiva. recebi antes do prazo e sem nenhuma avaria. Atendeu plenamente ao que eu precisava.",positivo
78,"Houve um pequeno atraso, mas isso não prejudicou minha avaliação de o brinquedo. o tamanho e o acabamento correspondem ao anúncio. No geral, fiquei muito satifeito.",positivo
79,Não posso recomendar a lâmpada inteligente. a bateria descarrega muito rápido e demora para carregar. Não vale o preço cobrado.,negativo
80,"Confesso que achei que o sofá seria ruim, mas me surpreendeu positivamente. chegou bem embalado e em perfeito estado. A experiência mereceu cinco estrelas.",positivo
81,"Eu esperava uma experiêcia razoável com o serviço de internet, mas o resultado superou minhas expectativas. não houve cobrança inesperada e tudo funcionou como informado. Minha avaliação é muito positiva.",positivo
82,"Se alguém me perguntar sobre o serviço de delivery, minha resposta será negativa. a equipe me transferiu várias vezes sem apresentar solução. Não atendeu ao que foi prometido.",negativo
83,"Se alguém me perguntar sobre o fone de ouvido, minha resposta será positiva. o deesmpenho se manteve estável durante o uso. Compraria novamente.",positivo
84,"eu esperava que o celular fosse excelente, mas acabou sendo uma grande decepção. a entrega atrasou e ainda mandaram o modelo errado. foi dinheiro jogado fora.",negativo
85,não tenho do que reclamar sobre o sistema de monitoramento. a equipe demonstrou atenção e conhecimento. continuarei usando com certeza.,positivo
86,"Confesso que achei que o colchão seria ruim, mas me surpreendeu positivamente. a qualidade ficou acima do que eu esperava. Minha avaliação é muito positiva.",positivo
87,nao tenho do que reclamar sobre a parafusadeira. o acabamento é mto bom e parece resistente. compraria novamente.,positivo
88,"Eu esperava que o jogo de tabuleiro fosse exelente, mas acabou sendo uma grande decepção. produz ruídos estranhos e esquenta além do normal. Precisa melhorar muito.",negativo
89,MINHA EXPERIÊNCIA COM O CAPACETE FOI PÉSSIMA. PAROU DE FUNCIONAR DEPOIS DE POUCOS DIAS. NÃO ATENDEU AO QUE FOI PROMETIDO.,negativo
90,"No começo a cafeteira pareceu funcionar bem, mas pouco depois veio em uma embalagem danificada e com o produto avariado. Não recomendo.",negativo
91,"Depois de três dias usando a assistência técnica, os problemas ficaram evidentes: o profissional chegou atrasado e deixou o serviço incompleto. Minha avaliação é negativa.",negativo
92,"Se alguém me perguntar sobre a oficina, minha resposta será positiva. o profissional foi pontual, educado e cuidadoso. Continuarei usando com certeza.",positivo
93,"No começo o colchão pareceu funcionar bem, mas pouco depois o desempenho é lento e instável. Solicitei a devolução.",negativo
94,"Se alguém me perguntar sobre o serviço de garantia, minha resposta será negativa. precisei repetir a mesma informação para várias pessoas. Não vale o preço cobrado.",negativo
95,"se alguém me perguntar sobre a geladeira, minha resposta será positiva. o material é firme, confortável e bem construído. continuarei usando com certeza.",positivo
96,"Analisei preço, qualidade e facilidade de uso antes de escolher o curso on-line. Mesmo assim, a experiência foi ruim porque o suporte encerrou o atendimeto antes de resolver o problema. Não vale o preço cobrado.",negativo
97,"Eu esperava que a plataforma de streaming fosse excelente, mas acabou sendo uma grande decepcao. o suporte encerrou o atendimento antes de resolver o problema. Fiquei muito decepcionado.",negativo
98,"Eu esperava que o celular fosse exelente, mas acabou sendo uma grande decepção. o manual é confuso e a configuração não funciona. Não atendeu ao que foi prometido.",negativo
99,"Depois de várias utilizações usando o serviço de instalação, os problemas ficaram evidentes: o aplicativo trava e impede a conclusão das operações. Fiquei muito decepicionado.",negativo
100,"Eu esperava uma experiêcia razoável com o serviço de delivery, mas o resultado superou minhas expectativas. a equipe corrigiu o problema e ainda explicou como evitar novamente. Pode comprar sem medo.",positivo
101,"Eu esperava uma experiencia razoavel com a mochila, mas o resultado superou minhas expectativas. funciona com rapidez e sem apresentar falhas. Minha avaliacao e muito positiva.",positivo
102,"Não tenho do que reclamar sobre o serviço de instalação. o processo foi simples, rápido e bem explicado. A experiência mereceu cinco estrelas.",positivo
103,"eu esperava uma experiência razoável com o serviço de hospedagem, mas o resultado superou minhas expectativas. a equipe corrigiu o problema e ainda explicou como evitar novamente. foi uma ótima escolha.",positivo
104,Não posso recomendar a locadora de veículos. a experiência foi desorganizada e cheia de etapas desnecessárias. Não compraria novamente.,negativo
105,"Analisei preço, qualidade e facilidade de uso antes de escolher o roteador. Mesmo assim, a experiência foi ruim porque o desempenho é lento e instável. Minha avaliação é negativa.",negativo
106,não tenho do que reclamar sobre o transporte por aplicativo. não houve cobrança inesperada e tudo funcionou como informado. minha avaliação é muito positiva.,positivo
107,Não posso recomendar a mochila. não corresponde às medidas nem às características anunciadas. Foi dinheiro jogado fora.,negativo
108,"A propaganda sobre o teclado é ótima; a experiência real, infelizmente, não foi. o manual é confuso e a configuração não funciona.",negativo
109,"A propaganda sobre o aplicativo de exercícios é ótima; a experiência real, infelizmente, não foi. o profissional chegou atrasado e deixou o serviço incompleto.",negativo
110,"Pesquisei bastante antes de escolher a televisao. Apos comparar preco, qualidade e facilidade de uso, a experiencia foi muito boa porque o material e firme, confortavel e bem construido. Pode comprar sem medo.",positivo
111,Estou arrependido de ter escolhido o serviço de internet. a equipe me transferiu várias vezes sem apresentar solução. Não era o resultado que eu esperava.,negativo
112,"Se alguem me perguntar sobre o sistema de monitoramento, minha resposta sera positiva. a equipe corrigiu o problema e ainda explicou como evitar novamente. Fiquei muito satisfeito com o resultado.",positivo
113,"Eu queria muito gostar de o módulo de alarme, porém produz ruídos estranhos e esquenta além do normal. Minha avaliação é negativa.",negativo
114,"Eu queria muito gostar de o micro-ondas, porém apresenta travamentos e falhas durante o uso. Minha avaliação é negativa.",negativo
115,Minha experiêcia com a impressora foi péssima. o desempenho é lento e instável. Não atendeu ao que foi prometido.,negativo
116,"Eu esperava uma experiência razoável com o sensor de presença, mas o resultado superou minhas expectativas. chegou bem embalado e em perfeito estado. Atendeu plenamente ao que eu precisava.",positivo
117,"Eu esperava que a furadeira fosse excelente, mas acabou sendo uma grande decepção. faltaram peças e não consegui concluir a instalação. Minha avaliação é negativa.",negativo
118,"Eu esperava que o livro fosse excelente, mas acabou sendo uma grande decepção. precisei solicitar troca porque não funcionou desde o primeiro uso. Foi dinheiro jogado fora.",negativo
119,"No começo o hotel pareceu funcionar bem, mas pouco depois o suporte encerrou o atendimento antes de resolver o problema. Foi dinheiro jogado fora. 😡",negativo
120,"Se alguém me perguntar sobre a panela elétrica, minha resposta será negatvia. o acabamento é frágil e começou a soltar. Minha avaliação é negativa.",negativo
121,"eu queria mto gostar de o micro-ondas, porém nao corresponde às medidas nem às características anunciadas. nao recomendo.",negativo
122,"nao tenho do que reclamar sobre o serviço de limpeza. o processo foi simples, rápido e bem explicado. compraria novamente.",positivo
123,"Depois de um dia usando a câmera, os problemas ficaram evidentes: a bateria descarrega muito rápido e demora para carregar. Precisa mehlorar muito.",negativo
124,"A propaganda sobre o celular é ótima; a experiência real, infelizmente, não foi. chegou com defeito e apresentando marcas de uso.",negativo
125,Minha experiêcia com o serviço de instalação foi excelente. a equipe demonstrou atenção e conhecimento. Valeu cada centavo.,positivo
126,"Depois de três dias usando a locadora de veículos, os problemas ficaram evidentes: o suporte encerrou o atendimento antes de resolver o problema. Foi dinheiro jogado fora.",negativo
127,"eu esperava uma experiência razoável com o tênis, mas o resultado superou minhas expectativas. o material é firme, confortável e bem construído. pode comprar sem medo.",positivo
128,"Eu queria muito gostar de a impressora, porém faltaram peças e não consegui concluir a instalação. Não recomendo.",negativo
129,"depois de um mês usando o ar-condicionado, posso dizer que fiz uma ótima escolha: o desempenho se manteve estável durante o uso. continuarei usando com certeza.",positivo
130,adorei o serviço de manutenção. superou minhas expectativas.,positivo
131,"Não foi perfeito em todos os detalhes, porém os pontos positivos de o aplicativo de exercícios pesaram muito mais. o suporte respondeu com precisão e sem transferências desnecessárias.",positivo
132,nao posso recomendar o fone de ouvido. veio em uma embalagem danificada e com o produto avariado. foi dinheiro jogado fora.,negativo
133,Não tenho do que reclamar sobre o brinquedo. os recursos são úteis e fáceis de configurar. A experiência mereceu cinco estrelas. ⭐,positivo
134,"Depois de duas semanas usando a mochila, posso dizer que fiz uma ótima escolha: a bateria dura bastante e carrega rapidamente. Atendeu plenamente ao que eu precisava.",positivo
135,"Eu esperava que o sistema de monitoramento fosse excelente, mas acabou sendo uma grande decepção. o aplicativo trava e impede a conclusão das operações. Minha avaliação é negativa.",negativo
136,"Confesso que achei que o módulo de vidro seria ruim, mas me surpreendeu positivamente. a instalação foi simples e tudo funcionou de primeira. Valeu cada centavo.",positivo
137,"Eu esperava que o curso on-line fosse exelente, mas acabou sendo uma grande decepção. a equipe me transferiu várias vezes sem apresentar solução. Minha avaliação é negativa.",negativo
138,"Depois de alguns meses usando o SSD, os problemas ficaram evidentes: não corresponde às medidas nem às características anunciadas. Fiquei muito decepcionado.",negativo
139,"Se alguém me perguntar sobre o aspirador, minha resposta será negativa. a netrega atrasou e ainda mandaram o modelo errado. A experiência foi péssima.",negativo
140,a qualidade do aplicativo bancário é ruim.,negativo
141,"Eu queria muito gostar de a cadeira gamer, porém o acabamento é frágil e começou a soltar. Solicitei a devolução.",negativo
142,"Eu queria muito gostar de o aplicativo de exercícios, porém houve cobrança inesperada e ninguém conseguiu explicar o motivo. Não recomendo.",negativo
143,"Não foi perfeito em todos os detalhes, porém os pontos positivos de o smartwatch pesaram muito mais. o desempenho se manteve estável durante o uso.",positivo
144,"analisei preço, qualidade e facilidade de uso antes de escolher o curso on-line. mesmo assim, a experiência foi ruim pq o aplicativo trava e impede a conclusão das operações. foi dinheiro jogado fora.",negativo
145,Não posso recomendar o brinquedo. a qualidade é bem inferior ao que aparece no anúncio. Precisa melhorar muito.,negativo
146,"Eu queria muito gostar de o suporte técnico, porém o atendimento foi grosseiro e pouco interessado. Minha avaliação é negativa.",negativo
147,"PESQUISEI BASTANTE ANTES DE ESCOLHER O VENTILADOR. APÓS COMPARAR PREÇO, QUALIDADE E FACILIDADE DE USO, A EXPERIÊNCIA FOI MUITO BOA PORQUE DEPOIS DE VÁRIOS DIAS DE USO CONTINUA FUNCIONANDO PERFEITAMENTE. A EXPERIÊNCIA MERECEU CINCO ESTRELAS.",positivo
148,"Eu queria muito gostar de a geladeira, porém chegou com defeito e apresentando marcas de uso. Precisa melhorar muito.",negativo
149,"Pesquisei bastante antes de escolher o tênis. Após comparar preço, qualdiade e facilidade de uso, a experiência foi muito boa porque veio com todos os acessórios e o manual estava claro. Minha avaliação é muito positiva.",positivo
150,"Nao foi perfeito em todos os detalhes, porem os pontos positivos de o liquidificador pesaram muito mais. o acabamento e muito bom e parece resistente.",positivo
151,Não posso recomendar a consulta. o suporte encerrou o atendimento antes de resolver o problema. Precisa melhorar muito.,negativo
152,Minha experiência com o relógio foi péssima. chegou com defeito e apresentando marcas de uso. Não recomendo.,negativo
153,ESTOU MUITO SATISFEITO COM A COMPRA. O CADEIRA GAMER É INCRÍVEL E CHEGOU PONTUAL.,positivo
154,"Não foi perfeito em todos os detalhes, porém os pontos positivos de o curso on-line pesaram muito mais. a equipe corrigiu o problema e ainda explicou como evitar novamente.",positivo
155,"Depois de duas semanas usando o micro-ondas, posso dizer que fiz uma ótima escolha: funciona com rapidez e sem apresentar falhas. Atendeu plenamente ao que eu precisava.",positivo
156,"Pesquisei bastante antes de escolher o servico de entrega. Apos comparar preco, qualidade e facilidade de uso, a experiencia foi muito boa porque o servico ficou pronto antes do prazo combinado. Atendeu plenamente ao que eu precisava.",positivo
157,"Não foi perfeito em todos os detalhes, porém os pontos positivos de o sistema de monitoramento pesaram muito mais. não houve cobrança inesperada e tudo funcionou como informado.",positivo
158,Estou arrependido de ter escolhido a parafusadeira. precisei solicitar troca porque não funcionou desde o primeiro uso. Não era o resultado que eu esperava.,negativo
159,minha experiência com a locadora de veículos foi excelente. o aplicativo permaneceu estável e fácil de usar. valeu cada centavo.,positivo
160,Minha experiência com a plataforma de streaming foi péssima. a experiência foi desorganizada e cheia de etapas desnecessárias. Não recomendo.,negativo
161,Não tenho do que reclamar sobre o carregador. a qualidade ficou acima do que eu esperava. Minha avaliação é muito positiva.,positivo
162,"Eu esperava que a jaqueta fosse exelente, mas acabou sendo uma grande decepção. produz ruídos estranhos e esquenta além do normal. Foi dinheiro jogado fora.",negativo
163,Não tenho do que reclamar sobre o curso on-line. o suporte respondeu com precisão e sem transferências desnecessárias. Minha avaliação é muito positiva. 👍,positivo
164,"Eu queria muito gostar de a plataforma de streaming, porém o profissional chegou atrasado e deixou o serviço incompleto. Minha avaliação é negativa.",negativo
165,"Depois de um mês usando a câmera, posso dizer que fiz uma ótima escolha: os recursos são úteis e fáceis de configurar. Foi uma ótima escolha.",positivo
166,"analisei preço, qualidade e facilidade de uso antes de escolher o livro. mesmo assim, a experiência foi ruim porque o desempenho é lento e instável. foi dinheiro jogado fora.",negativo
167,"Pesquisei bastante antes de escolher a cafeteira. Após comparar preço, qualidade e facilidade de uso, a experiência foi muito boa porque recebi antes do prazo e sem nenhuma avaria. Minha avaliação é muito positiva.",positivo
168,"Se alguém me perguntar sobre o teclado, minha resposta será negativa. não corresponde às medidas nem às características anunciadas. Preicsa melhorar muito.",negativo
169,Estou realmente contente com o atendimento da loja. a equipe corrigiu o problema e ainda explicou como evitar novamente. Foi exatamente o tipo de resultado que eu procurava.,positivo
170,"pesquisei bastante antes de escolher o ar-condicionado. após comparar preço, qualidade e facilidade de uso, a experiência foi muito boa porque a relação entre preço e qualidade vale muito a pena. foi uma ótima escolha.",positivo
171,"Depois de um mês usando o sofá, os problemas ficaram evidentes: o material parece barato e pouco resistente. Não atendeu ao que foi prometido. 😡",negativo
172,Estou realmente contente com o serviço de internet. a equipe demonstrou atenção e conhecimento. Foi exatamente o tipo de resultado que eu procurava.,positivo
173,Adorei o hotel. Superou minhas expectativas.,positivo
174,Não posso recomendar o suporte técnico. a equipe me transferiu várias vezes sem apresentar solução. Solicitei a devolução.,negativo
175,Minha experiência com o micro-ondas foi excelente. o acabamento é muito bom e parece resistente. Compraria novamente.,positivo
176,"depois de duas semanas usando a cafeteira, os problemas ficaram evidentes: o material parece barato e pouco resistente. não atendeu ao que foi prometido.",negativo
177,"Analisei preço, qualidade e facilidade de uso antes de escolher a geladeira. Mesmo assim, a experiência foi ruim porque o desempenho é lento e instável. Foi dinheiro jogado fora.",negativo
178,"Depois de um mês usando a lâmpada inteligente, posso dizer que fiz uma ótima escolha: depois de vários dias de uso continua funciondo perfeitamente. A experiência mereceu cinco estrelas.",positivo
179,Minha experiência com o site de compras foi excelente. o serviço ficou pronto antes do prazo combinado. Fiquei muito satisfeito com o resultado.,positivo
180,"Eu esperava que o serviço de instalação fosse excelente, mas acabou sendo uma grande decepção. a experiência foi desorganizada e cheia de etapas desnecessárias. Não atendeu ao que foi prometido.",negativo
181,Minha experiência com a locadora de veículos foi excelente. o aplicativo permaneceu estável e fácil de usar. A experiência mereceu cinco estrelas.,positivo
182,"Depois de três dias usando o sensor de presença, posso dizer que fiz uma ótima escolha: os recursos são úteis e fáceis de configurar. Continuarei usando com certeza. 😄",positivo
183,"eu queria muito gostar de a plataforma de aulas, porém as informações foram contraditórias e o prazo não foi cumprido. não recomendo.",negativo
184,"Eu esperava uma experiencia razoavel com a televisao, mas o resultado superou minhas expectativas. o material e firme, confortavel e bem construido. Valeu cada centavo.",positivo
185,"depois de três dias usando a cadeira gamer, posso dizer que fiz uma ótima escolha: o desempenho se manteve estável durante o uso. fiquei muito satisfeito com o resultado.",positivo
186,"se alguém me perguntar sobre o serviço de instalação, minha resposta será negativa. prometeram retorno, mas nunca entraram em contato. minha avaliação é negativa.",negativo
187,Nao tenho do que reclamar sobre a jaqueta. a relacao entre preco e qualidade vale muito a pena. Fiquei muito satisfeito com o resultado.,positivo
188,"depois de várias utilizações usando o transporte por aplicativo, os problemas ficaram evidentes: houve cobrança inesperada e ninguém conseguiu explicar o motivo. a experiência foi péssima.",negativo
189,Estou realmente contente com o livro. a qualidade ficou acima do que eu esperava. Foi exatamente o tipo de resultado que eu procurava.,positivo
190,"eu esperava uma experiência razoável com a parafusadeira, mas o resultado superou minhas expectativas. o material é firme, confortável e bem construído. foi uma ótima escolha.",positivo
191,"Depois de várias utilizações usando o serviço de instalação, posso dizer que fiz uma ótima escolha: a experiência foi organizada do início ao fim. Fiquei muito satisfeito com o resultado.",positivo
192,"No comeco o micro-ondas pareceu funcionar bem, mas pouco depois a bateria descarrega muito rapido e demora para carregar. Nao vale o preco cobrado.",negativo
193,"no começo o hotel pareceu funcionar bem, mas pouco depois prometeram retorno, mas nunca entraram em contato. nao compraria novamente.",negativo
194,"Analisei preço, qualidade e facilidade de uso antes de escolher o restaurante. Mesmo assim, a experiência foi ruim porque precisei repetir a mesma informação para várias pessoas. Foi dinheiro jogado fora.",negativo
195,"Analisei preço, qualidade e facilidade de uso antes de escolher o smartwatch. Mesmo assim, a experiêcia foi ruim porque a entrega atrasou e ainda mandaram o modelo errado. Não compraria novamente.",negativo
